L,J,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.309573444801932e-05,0.0,6.309573444801932e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.943282347242815e-05,0.0,7.943282347242815e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,7.94328234724281e-06,7.94328234724281e-06,0.0,0.0,0.0,0.0,1887.0
20.0,5.0,1000000.0,1000000.0,5.62341325190349e-06,5.62341325190349e-06,0.0,0.0,0.0,0.0,2467.0
20.0,5.0,1000000.0,1000000.0,5.62341325190349e-05,5.62341325190349e-05,0.0,0.0,0.0,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.778279410038922e-05,1.778279410038922e-05,0.0,0.0,5812.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.943282347242815e-05,7.943282347242815e-05,0.0,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.54813389233575e-06,0.0,0.0,3.54813389233575e-06,6150.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.30957344480193e-06,0.0,0.0,6.30957344480193e-06,5435.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.94328234724281e-06,0.0,0.0,7.94328234724281e-06,6331.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.122018454301963e-05,0.0,0.0,1.122018454301963e-05,6725.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.412537544622754e-05,0.0,0.0,1.412537544622754e-05,9134.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.778279410038922e-05,0.0,0.0,1.778279410038922e-05,7190.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.238721138568339e-05,0.0,0.0,2.238721138568339e-05,1298318.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.943282347242815e-05,0.0,0.0,7.943282347242815e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,0.0001,0.0,0.0,0.0001,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.54813389233575e-06,0.0,3.54813389233575e-06,0.0,4526.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.98107170553497e-06,0.0,3.98107170553497e-06,0.0,3475.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.62341325190349e-06,0.0,5.62341325190349e-06,0.0,5616.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.412537544622754e-05,0.0,1.412537544622754e-05,0.0,3625526.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.238721138568339e-05,0.0,2.238721138568339e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.818382931264453e-05,0.0,2.818382931264453e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.162277660168379e-05,0.0,3.162277660168379e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.079457843841379e-05,0.0,7.079457843841379e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,8.912509381337455e-05,0.0,8.912509381337455e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.51188643150958e-05,2.51188643150958e-05,0.0,0.0,8234.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.01187233627272e-06,0.0,0.0,5.01187233627272e-06,5764.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.94328234724281e-06,0.0,0.0,7.94328234724281e-06,6037.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.412537544622754e-05,0.0,0.0,1.412537544622754e-05,19127.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.238721138568339e-05,0.0,0.0,2.238721138568339e-05,1370918.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.548133892335754e-05,0.0,0.0,3.548133892335754e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.011872336272722e-05,0.0,0.0,5.011872336272722e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.943282347242815e-05,0.0,0.0,7.943282347242815e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.54813389233575e-06,0.0,3.54813389233575e-06,0.0,4135.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.98107170553497e-06,0.0,3.98107170553497e-06,0.0,4931.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.07945784384137e-06,0.0,7.07945784384137e-06,0.0,8399.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.94328234724281e-06,0.0,7.94328234724281e-06,0.0,7623.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.258925411794167e-05,0.0,1.258925411794167e-05,0.0,134256.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.584893192461113e-05,0.0,1.584893192461113e-05,0.0,4819539.0
